epoch,step,train/loss_epoch,train/loss_step,val/loss
0,49,,6.903498649597168,
0,99,,6.8533854484558105,
0,149,,6.80006217956543,
0,199,,6.709715843200684,
0,249,,6.727896690368652,
0,299,,6.645622730255127,
0,349,,6.6121697425842285,
0,399,,6.593837738037109,
0,448,,,6.92882776260376
0,448,6.733273029327393,,
1,449,,6.543214321136475,
1,499,,6.456669807434082,
1,549,,6.4224748611450195,
1,599,,6.484888076782227,
1,649,,6.478675842285156,
1,699,,6.402688503265381,
1,749,,6.469508647918701,
1,799,,6.4138712882995605,
1,849,,6.479217529296875,
1,897,,,6.954889297485352
1,897,6.466091156005859,,
2,899,,6.394632339477539,
2,949,,6.385994911193848,
2,999,,6.364945888519287,
2,1049,,6.399590015411377,
2,1099,,6.373977184295654,
2,1149,,6.39432430267334,
2,1199,,6.451509475708008,
2,1249,,6.350925445556641,
2,1299,,6.391772270202637,
2,1346,,,7.000000953674316
2,1346,6.361440658569336,,
3,1349,,6.3000946044921875,
3,1399,,6.26839017868042,
3,1449,,6.264277935028076,
3,1499,,6.291747093200684,
3,1549,,6.317025661468506,
3,1599,,6.341631889343262,
3,1649,,6.3221588134765625,
3,1699,,6.323975563049316,
3,1749,,6.301740646362305,
3,1795,,,7.031711578369141
3,1795,6.305207252502441,,
4,1799,,6.247663497924805,
4,1849,,6.2415266036987305,
4,1899,,6.302922248840332,
4,1949,,6.322157859802246,
4,1999,,6.305522918701172,
4,2049,,6.248750686645508,
4,2099,,6.249722003936768,
4,2149,,6.282678604125977,
4,2199,,6.310243129730225,
4,2244,,,7.064007759094238
4,2244,6.266745090484619,,
5,2249,,6.23213005065918,
5,2299,,6.187466621398926,
5,2349,,6.238834381103516,
5,2399,,6.254137992858887,
5,2449,,6.251779079437256,
5,2499,,6.2056779861450195,
5,2549,,6.264464855194092,
5,2599,,6.244015216827393,
5,2649,,6.268701553344727,
5,2693,,,7.089963912963867
5,2693,6.237931251525879,,
